rating,sentiment_score,word_count,char_count,exclamation_count,clean_review
2,-0.02187500000000002,80,426,4,stuning even for the nongamer this sound track was beautiful it paints the senery in your mind so well i would recomend it even to people who hate vid game music i have played the game chrono cross but out of all of the games i have ever played it has the best music it backs away from crude keyboarding and takes a fresher step with grate guitars and soulful orchestras it would impress anyone who cares to listen _
2,0.2611111111111111,97,509,0,the best soundtrack ever to anything im reading a lot of reviews saying that this is the best game soundtrack and i figured that id write a review to disagree a bit this in my opinino is yasunori mitsudas ultimate masterpiece the music is timeless and im been listening to it for years now and its beauty simply refuses to fadethe price tag on this is pretty staggering i must say but if you are going to buy any cd for this much money this is the only one that i feel would be worth every penny
2,0.2746913580246913,129,760,1,amazing this soundtrack is my favorite music of all time hands down the intense sadness of prisoners of fate which means all the more if youve played the game and the hope in a distant promise and girl who stole the star have been an important inspiration to me personally throughout my teen years the higher energy tracks like chrono cross  times scar time of the dreamwatch and chronomantique indefinably remeniscent of chrono trigger are all absolutely superb as wellthis soundtrack is amazing music probably the best of this composers work i havent heard the xenogears soundtrack so i cant say for sure and even if youve never played the game it would be worth twice the price to buy iti wish i could give it  stars
2,0.2727272727272727,118,743,0,excellent soundtrack i truly like this soundtrack and i enjoy video game music i have played this game and most of the music on here i enjoy and its truly relaxing and peacefulon disk one my favorites are scars of time between life and death forest of illusion fortress of ancient dragons lost fragment and drowned valleydisk two the draggons galdorb  home chronomantique prisoners of fate gale and my girlfriend likes zelbessdisk three the best of the three garden of god chronopolis fates jellyfish sea burning orphange dragons prayer tower of stars dragon god and radical dreamers  unstealable jeweloverall this is a excellent soundtrack and should be brought by those that like video game musicxander cross
2,0.3248015873015873,87,481,2,remember pull your jaw off the floor after hearing it if youve played the game you know how divine the music is every single song tells a story of the game its that good the greatest songs are without a doubt chrono cross times scar magical dreamers the wind the stars and the sea and radical dreamers unstolen jewel translation varies this music is perfect if you ask me the best it can be yasunori mitsuda just poured his heart on and wrote it down on paper
2,0.2965986394557823,142,825,0,an absolute masterpiece i am quite sure any of you actually taking the time to read this have played the game at least once and heard at least a few of the tracks here and whether you were aware of it or not mitsudas music contributed greatly to the mood of every single minute of the whole gamecomposed of  cds and quite a few songs i havent an exact count all of which are heartrendering and impressively remarkable this soundtrack is one i assure you you will not forget it has everything for every listener  from fastpaced and energetic dancing the tokage or termina home to slower and more haunting dragon god to purely beautifully composed times scar to even some fantastic vocals radical dreamersthis is one of the best videogame soundtracks out there and surely mitsudas best ever _
1,0.04270833333333334,139,738,3,buyer beware this is a selfpublished book and if you want to know whyread a few paragraphs those  star reviews must have been written by ms haddons family and friendsor perhaps by herself i cant imagine anyone reading the whole thingi spent an evening with the book and a friend and we were in hysterics reading bits and pieces of it to one another it is most definitely bad enough to be entered into some kind of a worst book contest i cant believe amazon even sells this kind of thing maybe i can offer them my th grade term paper on to kill a mockingbirda book i am quite sure ms haddon never heard of anyway unless you are in a mood to send a book to someone as a jokestay far far away from this one
2,0.5033333333333333,105,522,2,glorious story i loved whisper of the wicked saints the story was amazing and i was pleasantly surprised at the changes in the book i am not normaly someone who is into romance novels but the world was raving about this book and so i bought it i loved it  this is a brilliant story because it is so true this book was so wonderful that i have told all of my friends to read it it is not a typical romance it is so much more not reading this book is a crime becuase you are missing out on a heart warming story
2,0.075,103,524,2,a five star book i just finished reading whisper of the wicked saints i fell in love with the caracters i expected an average romance read but instead i found one of my favorite books of all time just when i thought i could predict the outcome i was shocked  the writting was so descriptive that my heart broke when julias did and i felt as if i was there with them instead of just a distant reader if you are a lover of romance novels then this is a must read dont let the cover fool you this book is spectacular
2,0.21666666666666667,63,301,0,whispers of the wicked saints this was a easy to read book that made me want to keep reading on and on not easy to put downit left me wanting to read the follow on which i hope is coming soon i used to read a lot but have gotten away from it this book made me want to read again very enjoyable
1,-0.409375,35,216,1,the worst a complete waste of time typographical errors poor grammar and a totally pathetic plot add up to absolutely nothing im embarrassed for this author and very disappointed i actually paid for this book
2,0.32916666666666666,96,470,0,great book this was a great booki just could not put it downand could not read it fast enough boy what a book the twist and turns in this just keeps you guessing and wanting to know what is going to happen next this book makes you fall in love and can heat you upit can also make you so angery this book can make you go throu several of your emotions this is a quick read romance it is something that you will want to end your day off with if you read at night
2,0.39111111111111113,59,296,0,great read i thought this book was brilliant but yet realistic it showed me that to error is human i loved the fact that this writer showed the loving side of god and not the revengeful side of him i loved how it twisted and turned and i could not put it down i also loved the glass castle
1,0.054861111111111104,93,492,1,oh please i guess you have to be a romance novel lover for this one and not a very discerning one all others beware it is absolute drivel i figured i was in trouble when a typo is prominently featured on the back cover but the first page of the book removed all doubt wait  maybe im missing the point a quick reread of the beginning now makes it clear this has to be an intentional churning of overheated prose for satiric purposes phew so glad i didnt waste  after all
1,-0.3138888888888889,132,692,3,awful beyond belief i feel i have to write to keep others from wasting their money this book seems to have been written by a th grader with poor grammatical skills for her age as another reviewer points out there is a misspelling on the cover and i believe there is at least one per chapter for example it was mentioned twice that she had a lean on her house i was so distracted by the poor writing and weak plot that i decided to read with a pencil in hand to mark all of the horrible grammar and spelling please dont waste your money i too believe that the good reviews must have been written by the authors relatives i will not put much faith in the reviews from now on
1,-0.18,53,304,0,dont try to fool us with fake reviews its glaringly obvious that all of the glowing reviews have been written by the same person perhaps the author herself they all have the same misspellings and poor sentence structure that is featured in the book who made veronica haddon think she is an author
2,0.2075274725274725,118,687,1,a romantic zen baseball comedy when you hear folks say that they dont make em like that anymore they might be talking about by the sea this is a very cool story about a young cuban girl searching for idenity who stumbles into a coastal resort kitchen gig with a zen motorcycle maintenance man three hysterical italian chefs and a latino fireballing right handed pitcher who plays on the team sponsored by the resorts owner as is often the case she finds herself through honest often comical but always emotional interaction with this sizzling roster of players with the perfect mix of special effects that salsa sound and flashbacks by the sea gets  big stars from me
2,-0.2341269841269841,115,658,1,fashionable compression stockings after i had a dvt my doctor required me to wear compression stockings i wore ugly white ted hose and yucky thick brown stockings then i found jobst ultrasheer they gave me the compression i needed  but looked like regular pantyhose even though my blood clot has been gone for  years i still buy these to wear as support stockings because they make my legs feel so nicenote i have problems with the rubberized tops rolling down my thigh i tried the jobst adhesive but i hated having my skin pulled all day i bought an inexpensive garter belt and it works fine and helps keep the stockings from rolling
2,0.15234567901234566,72,371,0,jobst ultrasheer thigh high excellent product however they are very difficult to get on for older people i feel like ive had a full day workout after getting them on also as the day wears on they begin to roll down from the top and create a very deep ridge in the skin i have to wear them so if those two difficulties could be addressed it would be such a help
1,0.1,49,241,1,sizes recomended in the size chart are not real sizes are much smaller than what is recomended in the chart i tried to put it and sheer it i guess you should not buy this item in the internetit is better to go to the store and check it
1,0.22465277777777778,72,413,4,mens ultrasheer this model may be ok for sedentary types but im active and get around alot in my job  consistently found these stockings rolled up down by my ankles not good solution go with the standard compression stocking  stock  excellent support stays up and gives me what i need both pair of these also tore as i struggled to pull them up all the time good riddancebad investment
2,0.26236111111111116,164,843,0,delicious cookie mix i thought it was funny that i bought this product without knowing it was a mix i read the header very quickly and just thought it was packaged cookies but no it is cookie mix and i guess i should have noticed that since it is right in the titlethis is the first time i have ever tried baking with a cookie mix if you are used to the convenience of the cookie dough that you buy wrapped up in plastic logs then you might be in for a bit of a surprise mixing up the dough can get very messy it is extremely sticky however with a cookie mix like this you have a lot of flexibility in the ratio of ingredients i like to add some extra butter to make the baked cookies more chewy also this mix has really large chocolate chips in iti love thati removed a star for the addition of natural flavors in the mix
1,0.07272727272727274,165,996,0,another abysmal digital copy rather than scratches and insect droppings this one has random pixelations combined with muddy light and vague image resolution probably the cue should have been the packaging is straight out of your street corner bootleg dealerif youve ever seen a reasonably good condition film copy you know the defining visuals of his film are the crystal clear lighting contrasts in black and white the surrounding countryside and old home scenes are set with early morning ground mists or the haze of memory while the events on the bridge and in the water are bright clear and immediatehere everything is dull dark and clouded or if you remember the timbre and enunciation of captains commands so are the visualsafter that it is hard to believe this award winning critically acclaimed films best presentation is on youtube somewhere out there is a dvd that comes up to the standard of a mm public library reeljust none of them appear to be on amazon
2,0.2690191387559809,137,791,1,a fascinating insight into the life of modern japanese teens i thoroughly enjoyed rising sons and daughters i dont know of any other book that looks at japanese society from the point of view of its young people poised as they are between their parents ageold japanese culture of restraint and obedience to the will of the community and their peers adulation of western culture true to form the new young of japan seem to be creating an international blend as the ando family demonstrates in this beautifully written book of vignettes of the private lives of members of this family steven wardell is clearly a talented young author adopted for some of his schooling into this family of four teens and thus able to view family life in japan from the inside out a great read
2,0.31250000000000006,53,268,0,i liked this album more then i thought i would i heard a song or two and thought same o same obut when i listened to songs like blue angellanna and mama the hair just rose off my neckroy is trully an amazing singer with a talent you dont find much now days
1,0.035330063455063454,118,632,0,problem with charging smaller aaas i have had the charger for more than two years it charges aa batteries just fine but has a huge problem securing smaller aaa batteries to charge the smaller batteries you need to flip down the little button at the positive end in the beginning one of the four aaa batteries would pop up and now three out of the four wont hold the problem is the flip mechanism became loose and any horizontal pressure would push the buttons back up what i have to do now is using duct tape and a segment of crayon apply the crayon on the buttons and wrap the tape around you know how painful that is
1,-0.11893939393939391,101,540,0,works but not as advertised i bought one of these chargersthe instructions say the lights stay on while the battery chargestrue the instructions dont say the lights turn off when its done which is also true  hours of charging and the lights stay on i returned it thinking i had a bad unitthe new one did the same thing i just kept it since it does chargebut the lights are useless since they seem to always stay on its a backup charger for when i manage to drain all my aas but i wouldnt want this as my only charger
1,-0.43125,51,286,0,disappointed i read the reviewsmade my purchase and was very disappointed the charger is convenient by charging all four batteries at once but the charge only lasts a very short time i now have to go and find batteries that will give me longer life than the kodak nimh aa batteries
1,0.03795749704840615,102,619,0,oh dear i was excited to find a book ostensibly about muslim feminism but this volume did not live up to the expectationsone essay among other things describes the veil as potentially liberating it doesnt begin to explain how or whyanother on muslim women in cape town claims that muslim women there are separate but more than equal gee whiz what a disappointmenti had expected and hoped for at least one muslim feminist condemnation of gender apartheid but there is not a single one in the bookim surprised it didnt have an essay extolling the virtues of female genital mutilationalyssa a lappen
